,City,Country,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed,Date
0,Brainerd,US,46.36,-94.2,75,65,78.8,78.8,1597017515
1,Ushuaia,AR,-54.8,-68.3,75,80,35.6,35.6,1597017661
2,Palivere,EE,58.97,23.89,12,81,63.0,63.0,1597017743
3,Alta Floresta,BR,-9.88,-56.09,12,33,76.41,76.41,1597017744
4,Ponta do Sol,PT,32.67,-17.1,40,73,73.4,73.4,1597017745
5,Haines Junction,CA,60.75,-137.51,100,79,52.32,52.32,1597017746
6,Mataura,NZ,-46.19,168.86,100,92,50.0,50.0,1597017747
7,Portland,US,45.52,-122.68,20,30,84.99,84.99,1597017607
8,Hilo,US,19.73,-155.09,90,78,78.8,78.8,1597017624
9,Talcahuano,CL,-36.72,-73.12,75,81,50.0,50.0,1597017733
10,Lompoc,US,34.64,-120.46,11,64,70.0,70.0,1597017752
11,Bluff,NZ,-46.6,168.33,91,92,50.0,50.0,1597017753
12,Port Blair,IN,11.67,92.75,100,83,81.81,81.81,1597017754
13,Arraial do Cabo,BR,-22.97,-42.03,5,85,70.99,70.99,1597017606
14,Butaritari,KI,3.07,172.79,79,75,82.94,82.94,1597017756
15,Kungurtug,RU,50.6,97.52,0,63,53.71,53.71,1597017757
16,North Bend,US,43.41,-124.22,1,72,82.0,82.0,1597017758
17,Busselton,AU,-33.65,115.33,36,78,57.0,57.0,1597017759
18,Wanaka,NZ,-44.7,169.15,80,69,46.83,46.83,1597017760
19,Iqaluit,CA,63.75,-68.51,20,61,50.0,50.0,1597017761
20,Itarema,BR,-2.92,-39.92,13,78,78.51,78.51,1597017762
21,Conselice,IT,44.51,11.83,0,90,75.99,75.99,1597017764
22,Albany,US,42.6,-73.97,18,65,84.0,84.0,1597017765
23,Punta Arenas,CL,-53.15,-70.92,75,74,33.8,33.8,1597017766
24,Atuona,PF,-9.8,-139.03,44,73,78.49,78.49,1597017767
25,Mandalgovi,MN,45.76,106.27,65,64,56.61,56.61,1597017768
26,Rikitea,PF,-23.12,-134.97,19,74,69.98,69.98,1597017769
27,Srīvardhan,IN,18.03,73.02,100,86,79.38,79.38,1597017770
28,Puerto Limón,CR,10.0,-83.03,75,83,80.6,80.6,1597017771
29,Half Moon Bay,US,37.46,-122.43,5,50,82.0,82.0,1597017772
30,Kargil,IN,34.57,76.1,81,56,59.58,59.58,1597017773
31,Bredasdorp,ZA,-34.53,20.04,16,87,55.4,55.4,1597017774
32,Hermanus,ZA,-34.42,19.23,29,83,55.99,55.99,1597017775
33,Bjørnevatn,NO,69.67,29.98,100,81,51.8,51.8,1597017777
34,Zhenhaicun,CN,24.26,118.09,75,74,84.2,84.2,1597017778
35,Tiksi,RU,71.69,128.87,100,81,40.06,40.06,1597017779
36,Erdenet,MN,49.03,104.08,10,78,53.89,53.89,1597017780
37,Sechura,PE,-5.56,-80.82,6,76,64.15,64.15,1597017781
38,Ancud,CL,-41.87,-73.82,75,86,43.0,43.0,1597017782
39,Bandarbeyla,SO,9.49,50.81,12,61,75.9,75.9,1597017783
40,Arman',RU,59.7,150.17,100,63,61.77,61.77,1597017784
41,Narsaq,GL,60.92,-46.05,84,76,48.2,48.2,1597017785
42,Vaini,TO,-21.2,-175.2,20,69,75.2,75.2,1597017786
43,Asău,RO,46.43,26.4,1,83,64.0,64.0,1597017787
44,Vaasa,FI,63.1,21.62,0,81,61.0,61.0,1597017685
45,Grindavik,IS,63.84,-22.43,90,100,51.8,51.8,1597017790
